feature,mean_abs_shap
recency_days,0.39326215247347457
n_events,0.273436441597573
avg_order_value,0.1381070315429261
days_since_first_seen,0.11880689272306763
total_spend,0.08242062925434578
median_price_viewed,0.07511976150832256
days_since_last_purchase,0.06752395995801129
std_price_viewed,0.054442015331315
n_sessions,0.05253195833129076
unique_categories_viewed,0.03272044281564602
historical_conversion_rate,0.029134204733690352
max_views_same_product,0.027848618323251594
repeat_view_ratio,0.027281543318422717
avg_price_viewed,0.02723391946616661
min_price_viewed,0.026108998574733987
brand_diversity_ratio,0.021691312035779772
price_range_viewed,0.01698609966889072
unique_brands,0.014468580604944874
n_orders,0.01410978077481476
max_price_viewed,0.013893210273996495
n_purchase_events,0.011137790676864634
category_diversity_ratio,0.009414520517705437
unique_products_viewed,0.00451054475884949
